sample_id,device_id,cache_index,victim_clean_correct,evaluator_clean_correct,dual_clean_correct,selected
wifib|device=1|capture=23Jan|frame=2734|row=2384,1,2384,True,True,True,False
wifib|device=1|capture=23Jan|frame=2620|row=2282,1,2282,True,True,True,False
wifib|device=1|capture=23Jan|frame=2167|row=1893,1,1893,True,True,True,False
wifib|device=1|capture=23Jan|frame=2687|row=2345,1,2345,False,True,False,False
wifib|device=1|capture=23Jan|frame=2208|row=1918,1,1918,True,True,True,False
wifib|device=1|capture=23Jan|frame=2283|row=1985,1,1985,True,True,True,False
wifib|device=1|capture=23Jan|frame=2289|row=1989,1,1989,True,True,True,False
wifib|device=1|capture=23Jan|frame=2395|row=2093,1,2093,True,True,True,False
wifib|device=1|capture=23Jan|frame=2755|row=2401,1,2401,True,True,True,False
wifib|device=1|capture=23Jan|frame=2708|row=2362,1,2362,False,True,False,False
wifib|device=1|capture=23Jan|frame=2688|row=2346,1,2346,False,True,False,False
wifib|device=1|capture=23Jan|frame=2314|row=2014,1,2014,True,True,True,False
wifib|device=1|capture=23Jan|frame=2723|row=2373,1,2373,True,True,True,False
wifib|device=1|capture=23Jan|frame=2487|row=2173,1,2173,True,True,True,False
wifib|device=1|capture=23Jan|frame=2178|row=1900,1,1900,True,True,True,False
wifib|device=1|capture=23Jan|frame=2714|row=2364,1,2364,False,True,False,False
wifib|device=1|capture=23Jan|frame=2597|row=2261,1,2261,True,True,True,False
wifib|device=1|capture=23Jan|frame=2765|row=2411,1,2411,True,True,True,False
wifib|device=1|capture=23Jan|frame=2644|row=2304,1,2304,True,True,True,False
wifib|device=1|capture=23Jan|frame=2476|row=2166,1,2166,True,True,True,False
wifib|device=1|capture=23Jan|frame=2209|row=1919,1,1919,True,True,True,False
wifib|device=1|capture=23Jan|frame=2513|row=2195,1,2195,True,True,True,False
wifib|device=1|capture=23Jan|frame=2502|row=2184,1,2184,True,True,True,False
wifib|device=1|capture=23Jan|frame=2239|row=1947,1,1947,True,True,True,False
